Player,Draft Year,Height (in),Weight (lbs),Wingspan (in),Wingspan diff
Neemias Queta,2019,82.75,225.8,88.25,5.5
Cameron Reddish,2019,78.5,207.8,84.5,6.0
Naz Reid,2019,80.75,255.8,87.25,6.5
Isaiah Roby,2019,79.25,214.0,85.0,5.75
Luka Samanic,2019,81.5,227.2,82.5,1.0
Admiral Schofield,2019,76.0,240.6,81.75,5.75
Marial Shayok,2019,76.5,196.8,84.25,7.75
Simisola Shittu,2019,80.5,227.2,85.25,4.75
Killian Tillie,2019,,-,,
P.J. Washington,2019,78.5,230.4,86.25,7.75
Tremont Waters,2019,69.5,172.4,74.25,4.75
Quinndary Weatherspoon,2019,75.0,206.6,81.0,6.0
Coby White,2019,75.5,191.4,77.0,1.5
Kris Wilkes,2019,78.25,208.8,82.75,4.5
Grant Williams,2019,77.75,240.2,81.75,4.0
Zion Williamson,2019,,-,,
Dylan Windler,2019,78.25,195.8,82.0,3.75
Precious Achiuwa,2020,79.5,234.0,84.75,5.25
Ty-Shon Alexander,2020,74.0,200.8,80.0,6.0
Udoka Azubuike,2020,82.0,259.5,91.25,9.25
Tyler Bey,2020,78.0,212.8,85.25,7.25
Yoeli Childs,2020,78.0,226.4,83.5,5.5
Mamadi Diakite,2020,80.5,222.1,87.75,7.25
Devon Dotson,2020,72.5,185.2,75.0,2.5
Paul Eboua,2020,78.0,222.2,87.5,9.5
CJ Elleby,2020,77.5,198.6,79.25,1.75
Trent Forrest,2020,75.5,203.0,79.5,4.0
Josh Green,2020,76.5,214.0,81.75,5.25
Ashton Hagans,2020,73.5,193.0,80.0,6.5
Joshua Hall,2020,78.0,196.6,83.0,5.0
Jalen Harris,2020,74.75,193.4,79.0,4.25
Markus Howard,2020,69.5,170.8,72.25,2.75
Elijah Hughes,2020,76.75,229.0,79.5,2.75
Isaiah Joe,2020,75.0,170.4,79.5,4.5
Mason Jones,2020,75.75,207.2,79.0,3.25
Nathan Knight,2020,80.0,235.0,86.0,6.0
Theo Maledon,2020,76.0,187.4,80.75,4.75
Karim Mane,2020,77.0,196.0,83.0,6.0
Naji Marshall,2020,77.75,233.5,84.75,7.0
Kenyon Martin Jr.,2020,78.0,213.2,79.25,1.25
Skylar Mays,2020,75.0,204.0,78.0,3.0
Zeke Nnaji,2020,81.25,246.8,86.0,4.75
Jordan Nwora,2020,77.75,223.0,82.25,4.5
Reggie Perry,2020,80.25,249.6,84.25,4.0
Myles Powell,2020,72.5,194.0,79.0,6.5
Immanuel Quickley,2020,74.0,185.8,80.25,6.25
Jahmi'us Ramsey,2020,74.5,193.4,78.0,3.5
Paul Reed Jr.,2020,80.5,219.2,86.0,5.5
Nick Richards,2020,82.5,241.6,86.25,3.75
Grant Riller,2020,72.25,178.4,77.25,5.0
Jayden Scrubb,2020,77.0,185.2,81.5,4.5
Jalen Smith,2020,81.25,224.6,86.25,5.0
Cassius Stanley,2020,77.0,201.6,79.0,2.0
Lamar Stevens,2020,77.75,228.0,81.0,3.25
Isaiah Stewart,2020,79.25,243.0,88.75,9.5
Tyrell Terry,2020,73.5,170.0,73.75,0.25
Killian Tillie,2020,80.75,221.6,80.0,-0.75
Xavier Tillman Sr.,2020,79.5,266.5,86.0,6.5
Kaleb Wesson,2020,81.25,252.6,87.5,6.25
Kahlil Whitney,2020,77.5,205.0,84.25,6.75
Cassius Winston,2020,72.5,196.0,78.0,5.5
Robert Woodard II,2020,77.5,230.2,86.0,8.5
Max Abmas,2021,70.5,161.8,73.75,3.25
Ochai Agbaji,2021,76.5,214.4,82.0,5.5
Marcus Bagley,2021,78.0,216.8,83.0,5.0
Scottie Barnes,2021,79.0,225.4,86.75,7.75
Charles Bassey,2021,81.25,230.2,87.0,5.75
Brandon Boston Jr.,2021,77.75,188.0,82.75,5.0
James Bouknight,2021,75.5,190.0,80.25,4.75
Greg Brown III,2021,79.25,206.4,84.25,5.0
Jared Butler,2021,74.25,193.0,76.0,1.75
Julian Champagnie,2021,78.5,217.4,82.0,3.5
Justin Champagnie,2021,77.75,206.4,81.5,3.75
Josh Christopher,2021,75.25,214.8,81.25,6.0
Sharife Cooper,2021,,-,,
Cade Cunningham,2021,,-,,
Ayo Dosunmu,2021,75.5,194.4,82.25,6.75
David Duke Jr.,2021,76.25,203.6,80.75,4.5
Kessler Edwards,2021,79.0,203.0,83.25,4.25
Luka Garza,2021,82.0,242.8,85.5,3.5
RaiQuan Gray,2021,78.5,268.6,82.75,4.25
Jalen Green,2021,,-,,
Quentin Grimes,2021,76.0,205.0,80.0,4.0
Sam Hauser,2021,78.75,217.4,81.25,2.5
Aaron Henry,2021,76.5,209.6,82.75,6.25
Ariel Hukporti,2021,82.75,246.0,86.5,3.75
Matt Hurt,2021,80.5,232.4,81.5,1.0
Nah'Shon Hyland,2021,74.0,169.0,81.25,7.25
Isaiah Jackson,2021,,-,,
David Johnson,2021,75.25,202.8,82.5,7.25
Jalen Johnson,2021,79.75,209.6,84.25,4.5
Keon Johnson,2021,75.5,184.8,79.25,3.75
Carlik Jones,2021,72.0,173.6,77.0,5.0
Kai Jones,2021,82.0,221.4,85.75,3.75
Herbert Jones,2021,78.0,206.4,84.25,6.25
Johnny Juzang,2021,77.5,209.0,82.5,5.0
Corey Kispert,2021,78.0,223.8,79.0,1.0
Jonathan Kuminga,2021,,-,,
AJ Lawson,2021,77.5,179.2,78.75,1.25
Scottie Lewis,2021,76.0,187.6,84.0,8.0
Isaiah Livers,2021,77.75,231.8,81.25,3.5
Makur Maker,2021,82.25,232.2,85.75,3.5
Sandro Mamukelashvili,2021,81.0,239.8,85.25,4.25
Tre Mann,2021,75.25,177.6,76.0,0.75
Matthew Mayer,2021,,-,,
Miles McBride,2021,73.0,195.2,80.75,7.75
Davion Mitchell,2021,72.0,202.4,76.25,4.25
Evan Mobley,2021,,-,,
Isaiah Mobley,2021,80.0,238.0,87.0,7.0
Moses Moody,2021,76.5,210.6,84.75,8.25
Trey Murphy III,2021,79.5,206.0,84.0,4.5
Daishen Nix,2021,75.0,225.6,78.75,3.75
John Petty Jr.,2021,76.5,186.2,81.5,5.0
Yves Pons,2021,77.5,206.4,84.75,7.25
Jason Preston,2021,75.0,180.6,80.5,5.5
Joshua Primo,2021,76.0,189.0,81.25,5.25
Roko Prkacin,2021,79.5,225.4,83.0,3.5
Neemias Queta,2021,83.25,248.4,88.0,4.75
Austin Reaves,2021,76.5,197.2,78.25,1.75
Jeremiah Robinson-Earl,2021,79.75,242.4,81.75,2.0
Terrence Shannon Jr.,2021,77.5,206.6,80.25,2.75
Day'Ron Sharpe,2021,,-,,
Jericho Sims,2021,81.0,250.2,87.25,6.25
Jaden Springer,2021,75.0,202.0,79.75,4.75
DJ Steward,2021,72.75,162.2,79.0,6.25
Cam Thomas,2021,,-,,
JT Thor,2021,80.5,203.0,87.25,6.75
Isaiah Todd,2021,80.75,219.0,85.25,4.5
Duane Washington Jr.,2021,74.25,196.8,79.75,5.5
Trendon Watford,2021,79.5,237.4,86.25,6.75
Joe Wieskamp,2021,77.75,204.8,83.0,5.25
Aaron Wiggins,2021,76.5,190.0,81.75,5.25
Ziaire Williams,2021,80.25,188.4,82.25,2.0
Moses Wright,2021,79.75,225.8,84.75,5.0
McKinley Wright IV,2021,71.25,192.2,77.25,6.0
Marcus Zegarowski,2021,72.75,180.8,74.75,2.0
Ochai Agbaji,2022,76.5,216.8,82.25,5.75
Patrick Baldwin Jr.,2022,81.25,230.8,85.75,4.5
Paolo Banchero,2022,,-,,
Dominick Barlow,2022,80.75,221.0,87.0,6.25
MarJon Beauchamp,2022,77.25,196.6,84.75,7.5
Hugo Besson,2022,76.5,180.4,77.5,1.0
Malaki Branham,2022,76.0,194.8,82.0,6.0
Christian Braun,2022,77.5,209.2,78.5,1.0
Kendall Brown,2022,78.25,201.2,83.0,4.75
John Butler Jr.,2022,83.75,174.4,86.25,2.5
Julian Champagnie,2022,78.25,212.4,82.0,3.75
Kennedy Chandler,2022,71.5,172.2,77.25,5.75
Max Christie,2022,76.25,189.2,80.75,4.5
Kofi Cockburn,2022,83.0,293.0,88.25,5.25
Dyson Daniels,2022,78.0,195.2,82.5,4.5
Johnny Davis,2022,76.25,196.4,80.5,4.25
JD Davison,2022,72.5,191.8,78.5,6.0
Darius Days,2022,,-,,
Moussa Diabate,2022,81.25,216.6,86.5,5.25
Ousmane Dieng,2022,,-,,
Khalifa Diop,2022,,-,,
Jalen Duren,2022,,-,,
Tari Eason,2022,78.75,217.4,86.0,7.25
Keon Ellis,2022,75.5,167.4,80.5,5.0
Michael Foster Jr.,2022,79.75,236.6,84.25,4.5
Collin Gillespie,2022,73.5,195.8,76.0,2.5
AJ Griffin,2022,,-,,
Jaden Hardy,2022,,-,,
Ron Harper Jr.,2022,76.0,240.4,85.25,9.25
Chet Holmgren,2022,,-,,
Harrison Ingram,2022,77.25,232.8,84.25,7.0
Jaden Ivey,2022,,-,,
Trayce Jackson-Davis,2022,,-,,
Nikola Jovic,2022,81.5,222.6,84.25,2.75
Johnny Juzang,2022,77.25,208.6,83.0,5.75
Ismael Kamagate,2022,,-,,
Trevor Keels,2022,75.25,223.8,79.25,4.0
Walker Kessler,2022,84.25,256.0,88.25,4.0
Christian Koloko,2022,82.75,221.0,89.25,6.5
Jake LaRavia,2022,78.75,227.2,81.5,2.75
Justin Lewis,2022,78.25,235.4,86.5,8.25
E.J. Liddell,2022,77.5,243.0,83.75,6.25
Kenneth Lofton Jr.,2022,,-,,
Tyrese Martin,2022,,-,,
Bennedict Mathurin,2022,76.5,204.6,81.0,4.5
Matthew Mayer,2022,80.0,216.4,82.5,2.5
Bryce McGowens,2022,77.25,181.2,80.75,3.5
Leonard Miller,2022,80.5,211.0,86.0,5.5
Josh Minnott,2022,,-,,
Aminu Mohammed,2022,75.5,212.8,83.0,7.5
Iverson Molinar,2022,74.25,183.2,80.0,5.75
Jean Montero,2022,73.0,171.8,77.25,4.25
Wendell Moore,2022,76.25,217.2,84.5,8.25
Keegan Murray,2022,,-,,
Andrew Nembhard,2022,75.0,195.6,77.75,2.75
Scotty Pippen Jr.,2022,72.0,180.0,77.75,5.75
Gabriele Procida,2022,77.75,192.8,80.0,2.25
Jared Rhoden,2022,,-,,
Orlando Robinson,2022,81.75,244.4,88.0,6.25
David Roddy,2022,76.5,260.8,83.5,7.0
Ryan Rollins,2022,74.0,179.2,81.75,7.75
Marcus Sasser,2022,,-,,
Dereon Seabron,2022,76.75,182.4,80.75,4.0
Shaedon Sharpe,2022,76.25,198.0,83.5,7.25
Terquavion Smith,2022,74.25,165.2,78.5,4.25
Jabari Smith,2022,,-,,
Jeremy Sochan,2022,,-,,
Matteo Spagnolo,2022,76.0,196.2,80.0,4.0
Julian Strawther,2022,77.75,207.6,81.5,3.75
Dalen Terry,2022,78.0,195.2,84.75,6.75
Drew Timme,2022,80.25,231.6,86.0,5.75
Jabari Walker,2022,78.75,213.8,82.75,4.0
TyTy Washington Jr.,2022,74.25,196.4,80.0,5.75
Peyton Watson,2022,78.75,203.4,84.5,5.75
Blake Wesley,2022,75.0,187.2,81.25,6.25
Alondes Williams,2022,75.75,209.0,79.0,3.25
Jalen Williams,2022,76.5,209.2,86.25,9.75
Jaylin Williams,2022,80.75,236.6,85.0,4.25
Trevion Williams,2022,79.25,264.6,86.75,7.5
Bryson Williams,2022,,-,,
Mark Williams,2022,84.0,242.4,90.5,6.5
Jalen Wilson,2022,,-,,
Fanbo Zeng,2022,,-,,
Trey Alexander,2023,75.25,184.6,82.0,6.75
Amari Bailey,2023,75.25,190.8,79.0,3.75
Emoni Bates,2023,80.25,179.2,81.0,0.75
Reece Beekman,2023,73.5,190.6,79.0,5.5
Anthony Black,2023,77.75,210.0,79.5,1.75
Adem Bona,2023,80.25,243.4,,
Kobe Brown,2023,78.5,252.2,84.75,6.25
Kobe Bufkin,2023,76.25,186.8,79.75,3.5
Toumani Camara,2023,79.0,220.4,84.5,5.5
Sidy Cissoko,2023,77.5,223.8,81.75,4.25
Jaylen Clark,2023,76.0,204.2,81.0,5.0
Noah Clowney,2023,,-,,
Bilal Coulibaly,2023,,-,,
Ricky Council IV,2023,77.0,208.0,81.0,4.0
Gradey Dick,2023,78.25,204.0,80.75,2.5
Nikola Djurisic,2023,79.0,217.6,80.25,1.25
Zach Edey,2023,87.25,306.4,94.5,7.25
Adam Flagler,2023,73.0,191.8,76.5,3.5
Keyonte George,2023,,-,,
Mouhamed Gueye,2023,82.25,212.6,87.25,5.0
Jordan Hawkins,2023,76.25,186.0,78.75,2.5
Coleman Hawkins,2023,80.5,224.4,84.25,3.75
Scoot Henderson,2023,,-,,
Taylor Hendricks,2023,80.25,213.6,84.5,4.25
DaRon Holmes II,2023,81.0,220.8,84.5,3.5
Jalen Hood-Schifino,2023,76.25,216.6,82.25,6.0
Jett Howard,2023,,-,,
GG Jackson,2023,80.25,214.4,83.5,3.25
Andre Jackson Jr.,2023,77.5,198.4,81.75,4.25
Trayce Jackson-Davis,2023,80.25,240.4,85.0,4.75
Jaime Jaquez Jr.,2023,78.0,226.4,81.5,3.5
Keyontae Johnson,2023,76.0,238.6,84.0,8.0
Colby Jones,2023,76.5,199.2,80.0,3.5
Ryan Kalkbrenner,2023,84.75,251.8,89.0,4.25
Arthur Kaluma,2023,78.25,221.8,84.5,6.25
Mojave King,2023,75.75,200.6,80.0,4.25
Bobi Klintman,2023,,-,,
Maxwell Lewis,2023,78.25,207.2,84.0,5.75
Dereck Lively Jr.,2023,,-,,
Chris Livingston,2023,78.0,219.2,83.25,5.25
Seth Lundy,2023,76.0,214.4,82.25,6.25
Kevin McCullar,2023,,-,,
Mike Miles Jr.,2023,72.75,205.0,72.5,-0.25
Jordan Miller,2023,76.5,191.6,83.75,7.25
Brandon Miller,2023,,-,,
Leonard Miller,2023,81.25,212.8,86.0,4.75
Judah Mintz,2023,75.0,176.4,75.5,0.5
Dillon Mitchell,2023,78.75,193.0,82.0,3.25
Omari Moore,2023,77.25,188.6,81.75,4.5
Kris Murray,2023,79.75,212.8,83.75,4.0
Grant Nelson,2023,82.0,223.4,84.0,2.0
James Nnaji,2023,,-,,
Julian Phillips,2023,78.75,196.6,83.5,4.75
Jalen Pickett,2023,74.0,197.8,79.25,5.25
Brandin Podziemski,2023,75.75,203.8,77.5,1.75
Olivier-Maxence Prosper,2023,78.75,212.4,85.0,6.25
Rayan Rupert,2023,78.0,193.2,86.0,8.0
Adama Sanogo,2023,79.25,257.8,86.75,7.5
Marcus Sasser,2023,73.25,195.6,79.0,5.75
Brice Sensabaugh,2023,,-,,
Terrence Shannon Jr.,2023,77.5,220.0,80.0,2.5
Ben Sheppard,2023,77.25,194.6,79.75,2.5
Jalen Slawson,2023,78.5,221.6,83.75,5.25
Terquavion Smith,2023,74.5,163.2,78.75,4.25
Nick Smith Jr.,2023,,-,,
Julian Strawther,2023,78.0,208.8,81.25,3.25
Amen Thompson,2023,77.75,214.2,84.0,6.25
Ausar Thompson,2023,77.75,218.2,84.0,6.25
Drew Timme,2023,80.75,243.2,85.75,5.0
Nae'Qwan Tomlin,2023,,-,,
Oscar Tshiebwe,2023,79.25,253.6,87.5,8.25
Azuolas Tubelis,2023,80.75,234.8,83.0,2.25
Tristan Vukcevic,2023,83.25,223.4,86.5,3.25
Jarace Walker,2023,78.5,248.6,86.5,8.0
Cason Wallace,2023,74.5,195.2,80.5,6.0
Jordan Walsh,2023,77.75,204.0,85.75,8.0
Victor Wembanyama,2023,,-,,
Dariq Whitehead,2023,77.75,217.2,82.25,4.5
Cam Whitmore,2023,77.75,235.0,80.5,2.75
Jalen Wilson,2023,77.5,230.2,80.0,2.5
Isaiah Wong,2023,74.5,178.4,78.75,4.25
Michael Ajayi,2024,77.75,227.8,84.75,7.0
Melvin Ajinca,2024,79.25,213.8,79.5,0.25
Trey Alexander,2024,75.25,187.0,82.5,7.25
Izan Almansa,2024,81.25,219.6,85.0,3.75
Reece Beekman,2024,73.25,196.4,78.5,5.25
Adem Bona,2024,80.25,243.2,87.75,7.5
Trevon Brazile,2024,81.25,215.0,87.75,6.5
Jalen Bridges,2024,78.75,213.4,82.0,3.25
Matas Buzelis,2024,80.75,197.0,82.0,1.25
Carlton Carrington,2024,75.75,194.8,80.0,4.25
Devin Carter,2024,74.25,193.0,80.75,6.5
Stephon Castle,2024,77.5,210.0,81.0,3.5
Ulrich Chomche,2024,82.25,232.4,88.0,5.75
Cam Christie,2024,76.5,190.4,80.0,3.5
Nique Clifford,2024,77.0,198.6,80.0,3.0
Donovan Clingan,2024,85.75,282.0,90.75,5.0
Isaiah Collier,2024,74.5,204.6,76.75,2.25
Tristan Da Silva,2024,80.25,216.8,82.25,2.0
Pacome Dadiet,2024,79.75,216.8,81.0,1.25
N'Faly Dante,2024,82.0,260.2,90.0,8.0
Robert Dillingham,2024,73.0,164.2,75.0,2.0
Nikola Djurisic,2024,79.0,208.8,80.0,1.0
Ryan Dunn,2024,78.25,213.6,85.5,7.25
Zach Edey,2024,87.75,299.0,94.75,7.0
Justin Edwards,2024,78.0,209.4,82.0,4.0
Jesse Edwards,2024,83.5,236.0,89.0,5.5
Boogie Ellis,2024,72.75,185.0,79.0,6.25
Kyle Filipowski,2024,82.75,229.8,82.5,-0.25
Trentyn Flowers,2024,78.5,201.4,80.25,1.75
Enrique Freeman,2024,79.25,212.0,86.0,6.75
Johnny Furphy,2024,79.5,188.8,80.0,0.5
Kyshawn George,2024,79.0,208.8,82.25,3.25
Tyon Grant-Foster,2024,77.75,215.2,83.75,6.0
PJ Hall,2024,80.25,239.6,85.5,5.25
Coleman Hawkins,2024,80.25,215.2,84.0,3.75
Ron Holland II,2024,78.5,196.8,82.75,4.25
DaRon Holmes II,2024,80.75,236.2,85.0,4.25
Ariel Hukporti,2024,82.75,246.2,86.5,3.75
Oso Ighodaro,2024,81.5,222.0,83.0,1.5
Harrison Ingram,2024,77.25,233.6,84.25,7.0
Bronny James,2024,73.5,210.4,79.25,5.75
AJ Johnson,2024,76.25,167.0,80.5,4.25
Keshad Johnson,2024,78.25,224.0,82.25,4.0
Dillon Jones,2024,76.5,236.8,83.0,6.5
David Jones,2024,75.5,211.2,78.75,3.25
Isaac Jones,2024,79.75,235.0,87.0,7.25
Alex Karaban,2024,78.5,219.2,83.0,4.5
Bobi Klintman,2024,80.75,212.2,83.0,2.25
Dalton Knecht,2024,77.25,212.2,81.0,3.75
Tyler Kolek,2024,73.25,196.6,74.75,1.5
Pelle Larsson,2024,77.25,212.4,79.5,2.25
Jared McCain,2024,74.0,203.2,75.5,1.5
Kevin McCullar Jr.,2024,77.25,205.8,81.0,3.75
Yves Missi,2024,82.75,229.4,86.0,3.25
Ajay Mitchell,2024,75.25,197.0,78.25,3.0
Jonathan Mogbo,2024,78.25,217.2,86.0,7.75
Tristen Newton,2024,75.25,191.8,78.75,3.5
Juan Nunez,2024,76.0,205.6,78.5,2.5
Quinten Post,2024,84.0,244.4,86.5,2.5
Antonio Reeves,2024,76.5,186.6,80.25,3.75
Zaccharie Risacher,2024,80.5,194.6,81.5,1.0
Jaxson Robinson,2024,76.75,188.6,83.25,6.5
Tidjane Salaun,2024,80.75,217.4,85.5,4.75
Hunter Sallis,2024,75.5,179.4,81.75,6.25
Payton Sandfort,2024,78.25,212.0,80.0,1.75
Alexandre Sarr,2024,83.75,224.2,88.25,4.5
Baylor Scheierman,2024,78.25,201.6,80.25,2.0
Mark Sears,2024,70.25,192.4,74.0,3.75
Terrence Shannon Jr.,2024,77.75,219.4,80.75,3.0
Jamal Shead,2024,72.25,200.8,75.0,2.75
Reed Sheppard,2024,73.75,181.6,75.25,1.5
KJ Simpson,2024,72.25,187.0,76.5,4.25
Tyler Smith,2024,81.0,223.8,85.0,4.0
Cam Spencer,2024,75.0,201.8,77.0,2.0
Nae'Qwan Tomlin,2024,80.25,205.0,86.5,6.25
Nikola Topic,2024,77.75,203.0,77.5,-0.25
JT Toppin,2024,79.0,221.0,84.5,5.5
Jaylon Tyson,2024,77.5,218.2,80.0,2.5
Ja'Kobe Walter,2024,76.25,197.6,82.0,5.75
Kel'el Ware,2024,83.75,230.0,88.5,4.75
Jamir Watkins,2024,77.0,211.6,82.75,5.75
Jaylen Wells,2024,78.5,206.2,79.25,0.75
Cody Williams,2024,78.5,178.4,85.0,6.5
